sterlicht.nl: 2014-05-01 17:10:02 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb047_msl.html
sterlicht.nl: 2014-05-01 17:12:12 [access] ip: 157.56.229.190, browser --> www.sterlicht.nl/astroblogs/slAb064_andromeda2.html
sterlicht.nl: 2014-05-01 17:20:48 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-05-01 17:28:35 [access] ip: 157.55.33.121, browser --> www.sterlicht.nl/astroblogs/slAb035_m13.html
sterlicht.nl: 2014-05-01 17:28:35 [access] ip: 157.55.33.121, browser --> www.sterlicht.nl/astroblogs/slAb060_techniek_en_romantiek.html
sterlicht.nl: 2014-05-01 17:40:00 [access] ip: 157.55.33.107, browser --> www.sterlicht.nl/astroblogs/slAb046_maan_van_de_baan.html
sterlicht.nl: 2014-05-01 18:07:26 [access] ip: 65.55.52.118, browser --> www.sterlicht.nl/astroblogs/slAb052_vier_planeten.html
sterlicht.nl: 2014-05-01 18:12:17 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb049_dag_winter.html
sterlicht.nl: 2014-05-01 18:22:33 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb036_m27.html
sterlicht.nl: 2014-05-01 19:13:22 [access] ip: 157.56.229.190, browser --> www.sterlicht.nl/astroblogs/slAb015_sirius.html
sterlicht.nl: 2014-05-01 19:29:01 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb008_venus_jupiter.html
sterlicht.nl: 2014-05-01 19:31:09 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb031_astronomie_astrologie.html
sterlicht.nl: 2014-05-01 19:32:53 [access] ip: 157.55.33.28, browser --> www.sterlicht.nl/astroblogs/slAb005_andromeda.html
sterlicht.nl: 2014-05-01 19:39:35 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/presentations.html
sterlicht.nl: 2014-05-01 20:44:21 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb006_volle_maan.html
sterlicht.nl: 2014-05-01 21:28:04 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb063_tvashtar.html
sterlicht.nl: 2014-05-01 21:36:16 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb020_kepler.html
sterlicht.nl: 2014-05-01 22:03:55 [access] ip: 157.55.33.88, browser --> www.sterlicht.nl/astroblogs/slAb025_m48.html
sterlicht.nl: 2014-05-01 22:25:39 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb011_zevengesternte.html
sterlicht.nl: 2014-05-01 22:36:11 [access] ip: 157.55.32.116, browser --> www.sterlicht.nl/astroblogs/slAb039_ares_I_X.html
sterlicht.nl: 2014-05-01 23:23:52 [access] ip: 157.55.34.107, browser --> www.sterlicht.nl/astroblogs/slAb038_galileoscope.html
sterlicht.nl: 2014-05-01 23:57:58 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb040_astro_nl.html
sterlicht.nl: 2014-05-01 23:58:16 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb037_kaboem.html
sterlicht.nl: 2014-05-02 00:06:36 [access] ip: 157.55.34.107, browser --> www.sterlicht.nl/astroblogs/slAb041_eris.html
sterlicht.nl: 2014-05-02 00:08:51 [access] ip: 199.30.20.5, browser --> www.sterlicht.nl/astrolessons.html
sterlicht.nl: 2014-05-02 00:12:27 [access] ip: 157.55.33.88, browser --> www.sterlicht.nl/astroblogs/slAb024_titan.html
sterlicht.nl: 2014-05-02 00:23:18 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb026_chara.html
sterlicht.nl: 2014-05-02 00:29:15 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb012_geboorte_ster.html
sterlicht.nl: 2014-05-02 00:31:49 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb065_m33_wintersport.html
sterlicht.nl: 2014-05-02 01:17:21 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb014_zoekplaatje.html
sterlicht.nl: 2014-05-02 01:19:04 [access] ip: 157.56.92.160, browser --> www.sterlicht.nl/astroblogs/slAb003_opgenomen.html
sterlicht.nl: 2014-05-02 01:31:43 [access] ip: 157.55.34.107, browser --> www.sterlicht.nl/astroblogs/slAb008_venus_jupiter.html



sterlicht.nl: 2014-05-02 01:57:38 [initialization] application restarted
sterlicht.nl: 2014-05-02 01:57:38 [initialization] table users already exists
sterlicht.nl: 2014-05-02 01:57:38 [access] ip: 157.55.33.252, browser --> www.sterlicht.nl/astroblogs/slAb022_saturnus.html
sterlicht.nl: 2014-05-02 02:03:19 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb064_andromeda2.html
sterlicht.nl: 2014-05-02 02:11:44 [access] ip: 157.55.33.121, browser --> www.sterlicht.nl/astroblogs/slAb068_zonnevlekken.html
sterlicht.nl: 2014-05-02 02:17:41 [access] ip: 199.30.20.0, browser --> www.sterlicht.nl/astrolessons.html
sterlicht.nl: 2014-05-02 02:25:53 [access] ip: 157.55.33.252, browser --> www.sterlicht.nl/astroblogs/slAb058_kleine_stap.html
sterlicht.nl: 2014-05-02 02:47:03 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb027_satellieten.html
sterlicht.nl: 2014-05-02 02:52:57 [access] ip: 157.55.33.252, browser --> www.sterlicht.nl/astroblogs/slAb030_mars.html
sterlicht.nl: 2014-05-02 03:08:07 [access] ip: 157.55.33.252, browser --> www.sterlicht.nl/astroblogs/slAb058_kleine_stap.html
sterlicht.nl: 2014-05-02 03:36:57 [access] ip: 65.55.55.230, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-05-02 03:58:17 [access] ip: 157.55.33.97, browser --> www.sterlicht.nl/astroblogs/slAb036_m27.html
sterlicht.nl: 2014-05-02 04:21:14 [access] ip: 157.56.229.190, browser --> www.sterlicht.nl/astroblogs/slAb015_sirius.html
